flightId,case,expectedProblemFamily,expectedRecommendedAction,expectedMagnitude,keepConstant,notes
flight-001-techo-temprano-rem-alto,Techo temprano + remanente alto,ceiling,aumentar back-off o aumentar paso máximo VP,+60 a +80 vueltas o +3% a +5% maxPitch,modelo; salón; trimado; y todas las demás variables salvo la recomendada,Toca techo temprano y aterriza con 19.9% de vueltas netas remanentes. Debe priorizar control inicial.
flight-002-techo-temprano-rem-bajo,Techo temprano + remanente bajo,ceiling,aumentar back-off levemente,+20 a +40 vueltas o +2% maxPitch,modelo; salón; trimado; y todas las demás variables salvo la recomendada,"Toca techo pero queda solo 7.3% de remanente. Está cerca, ajuste fino de distribución inicial."
flight-003-rem-alto-rpm-lenta,Remanente alto + RPM final lenta,propeller/friction,reducir paso mínimo VP o revisar fricción,-3% a -5% minPitch,modelo; salón; trimado; y todas las demás variables salvo la recomendada,"No usa techo, cae con muchas vueltas y RPM final lenta. Debe sospechar paso mínimo alto o fricción antes que motor."
flight-004-rem-alto-rpm-rapida,Remanente alto + RPM final rápida,propeller,aumentar paso mínimo VP,+2% a +4% minPitch,modelo; salón; trimado; y todas las demás variables salvo la recomendada,"No usa techo, remanente alto y RPM final alta: hélice descarga sin empuje. Subir paso mínimo."
flight-005-rem-alto-rpm-normal,Remanente alto + RPM normal estable,motor,acortar motor y aumentar densidad de goma,"-3% a -5% loop, misma masa",modelo; salón; trimado; y todas las demás variables salvo la recomendada,"Motor largo/fino: remanente alto, rpm normal, estable y no usa techo. Conviene acortar motor manteniendo masa."
flight-006-no-techo-rem-bajo-no-altura,No usa techo + remanente bajo,motor,disminuir back-off o motor más corto/grueso,-40 a -60 backOff o -3% loop,modelo; salón; trimado; y todas las demás variables salvo la recomendada,No usa techo y no sobra motor; falta energía útil o el modelo está pesado. Cambiar energía inicial.
flight-007-baseline-ideal-1,Baseline ideal 1,baseline,repetir baseline sin cambios,sin cambios,modelo; salón; trimado; y todas las demás variables salvo la recomendada,"Vuelo cerca del óptimo: usa 85% de techo, estable, remanente 6.8%. Debe repetir."
flight-008-baseline-ideal-2,Baseline ideal 2 repetición,baseline,microvariación opcional,+2% vueltas o -20 backOff,modelo; salón; trimado; y todas las demás variables salvo la recomendada,"Repetición del baseline. Si se confirma, microvariar +2% vueltas o -20 back-off."
flight-009-inestable-rem-alto,Vuelo inestable + remanente alto,trim,corregir trimado antes de tocar motor o VP,sin cambios de motor/VP,modelo; salón; trimado; y todas las demás variables salvo la recomendada,No optimizar goma: vuelo irregular y pérdida de energía por trimado.
flight-010-vp-caida-brusca-temprana,RPM cae bruscamente por transición VP temprana,variable_pitch,retrasar transición VP,+1 paso de preload/resorte o ajustar mecanismo,modelo; salón; trimado; y todas las demás variables salvo la recomendada,La RPM cae mucho cuando cambia el VP. Transición demasiado temprana: retrasar transición/resorte.
flight-011-vp-transicion-tardia,VP cambia tarde + remanente alto,variable_pitch,facilitar transición VP o reducir minPitch,-1 paso preload o -3% minPitch,modelo; salón; trimado; y todas las demás variables salvo la recomendada,El VP cambia tarde; queda mucha vuelta y rpm lenta. Facilitar transición o bajar minPitch.
flight-012-vp-mecanismo-desconocido,VP mecanismo desconocido,insufficient_data/ceiling,registrar mecanismo VP; ajustar back-off primero,"+60 backOff, no tocar resorte",modelo; salón; trimado; y todas las demás variables salvo la recomendada,No recomendar dureza de resorte: el sentido VP está desconocido. Mejor back-off/maxPitch.
flight-013-helice-fija-rem-alto,Hélice fija + remanente alto,propeller/friction,revisar fricción o probar hélice de menor paso,no tocar motor aún,modelo; salón; trimado; y todas las demás variables salvo la recomendada,Hélice fija y rpm lenta; sospechar hélice demasiado cargada/fricción. No hay minPitch que ajustar.
flight-014-helice-fija-rpm-rapida,Hélice fija RPM rápida sin sustentación,propeller,probar hélice con más paso o más diámetro,+2% a +4% paso equivalente,modelo; salón; trimado; y todas las demás variables salvo la recomendada,Hélice fija gira rápido pero no sostiene: hélice descargada. Probar mayor paso/diámetro.
flight-015-motor-ilegal-alerta,Motor ilegal >1.5g,rules,alerta reglamentaria,motor > 1.5 g,modelo; salón; trimado; y todas las demás variables salvo la recomendada,Debe activar alerta de reglamento por motor 1.51 g aunque el vuelo sea bueno.
flight-016-techo-alto-falta-torque,Techo alto no usado por falta de torque,motor,motor más corto/grueso o menos back-off,-5% loop o -60 backOff,modelo; salón; trimado; y todas las demás variables salvo la recomendada,"Techo alto, modelo pesado, motor suave. Requiere más torque útil."
flight-017-techo-alto-buen-ascenso,Techo alto buen ascenso,baseline,repetir baseline,sin cambios,modelo; salón; trimado; y todas las demás variables salvo la recomendada,"Buen uso de techo alto, remanente razonable. Repetir o microajustar."
flight-018-segundo-ascenso-techo,Segundo ascenso y toque de techo,variable_pitch/ceiling,aumentar minPitch o aumentar backOff,+2% minPitch o +40 backOff,modelo; salón; trimado; y todas las demás variables salvo la recomendada,Segundo ascenso indica transición o paso mínimo demasiado agresivo/descargado. Controlar fase media.
flight-019-caida-sin-vueltas,Cae sin vueltas,motor,motor más largo/fino o más vueltas netas,+3% loop o +2% vueltas,modelo; salón; trimado; y todas las demás variables salvo la recomendada,Motor demasiado corto/agresivo o pocas vueltas para duración. Alargar motor o aumentar vueltas conservadoramente.
flight-020-friccion-sospechada,Fricción sospechada,friction,inspeccionar fricción,sin cambios de motor,modelo; salón; trimado; y todas las demás variables salvo la recomendada,RPM cae sin transición VP observada; revisar fricción/eje/hub antes de tocar goma.
flight-021-datos-incompletos,Datos incompletos,insufficient_data,registrar RPM/remanentes/tiempo a techo,sin cambios,modelo; salón; trimado; y todas las demás variables salvo la recomendada,"Faltan RPM, remanentes y torque. Debe pedir recolección de datos, no optimizar."
flight-022-pared-deriva,Deriva / ambiente,environment/trim,repetir en aire quieto o corregir deriva,no cambiar motor,modelo; salón; trimado; y todas las demás variables salvo la recomendada,Vuelo interrumpido por deriva/ambiente. No sacar conclusiones de motor.
flight-023-maxpitch-insuficiente,Paso máximo insuficiente,ceiling/variable_pitch,aumentar paso máximo VP,+5% maxPitch,modelo; salón; trimado; y todas las demás variables salvo la recomendada,MaxPitch bajo no absorbe torque inicial: aumentar paso máximo.
flight-024-maxpitch-excesivo,Paso máximo excesivo / no trepa,propeller,reducir paso máximo VP,-3% a -5% maxPitch,modelo; salón; trimado; y todas las demás variables salvo la recomendada,Paso máximo muy alto carga la hélice y no trepa. Reducir maxPitch antes que motor.
flight-025-minpitch-alto-final,Paso mínimo alto final,propeller,reducir paso mínimo VP,-4% minPitch,modelo; salón; trimado; y todas las demás variables salvo la recomendada,MinPitch demasiado alto; carga mucho final y deja vueltas.
flight-026-minpitch-bajo-final,Paso mínimo bajo final,propeller,aumentar paso mínimo VP,+3% minPitch,modelo; salón; trimado; y todas las demás variables salvo la recomendada,MinPitch demasiado bajo; RPM alta sin sostén.
flight-027-motor-largo-fino-confirmacion,Motor largo/fino confirmación,motor,acortar motor,"-5% loop, misma masa",modelo; salón; trimado; y todas las demás variables salvo la recomendada,Incluso en techo alto no usa altura y remanente alto. Motor largo/fino.
flight-028-motor-corto-muy-agresivo,Motor corto demasiado agresivo,ceiling/motor,aumentar back-off primero,+100 vueltas,modelo; salón; trimado; y todas las demás variables salvo la recomendada,Motor demasiado agresivo para techo bajo. Aumentar backOff o motor más largo/fino.
flight-029-salon-chico-controlado,Salón chico controlado,baseline,repetir baseline,sin cambios,modelo; salón; trimado; y todas las demás variables salvo la recomendada,Vuelo bueno en salón bajo; repetir y luego bajar levemente back-off.
flight-030-backoff-excesivo,Back-off excesivo,motor/launch,disminuir back-off,-60 a -100 vueltas,modelo; salón; trimado; y todas las demás variables salvo la recomendada,Demasiado back-off: no usa techo y remanente moderado. Reducir back-off.
flight-031-vueltas-insuficientes,Vueltas insuficientes,launch,aumentar vueltas netas,+3% a +5% vueltas,modelo; salón; trimado; y todas las demás variables salvo la recomendada,No sobra motor y no usa techo; subir vueltas netas.
flight-032-trim-cuelgue,Cuelgue / pérdida,trim,corregir trimado/incidencia,sin cambios de motor/VP,modelo; salón; trimado; y todas las demás variables salvo la recomendada,Cuelga: problema de trimado/incidencia. No tocar motor.
flight-033-contacto-largo-techo,Contacto largo con techo,ceiling,aumentar back-off,+100 a +120 vueltas,modelo; salón; trimado; y todas las demás variables salvo la recomendada,Contacto muy largo: prioridad absoluta reducir techo inicial.
flight-034-uso-techo-bajo-rem-ideal,Remanente ideal pero poca altura,launch,aumentar energía inicial,-30 backOff o +2% vueltas,modelo; salón; trimado; y todas las demás variables salvo la recomendada,Remanente correcto pero usa solo 50% de techo alto. Se puede subir lanzamiento o bajar backOff.
flight-035-uso-techo-alto-rem-alto,Casi techo + remanente alto,motor/propeller,microacortar motor o ajustar minPitch,"-2% loop, no tocar más",modelo; salón; trimado; y todas las demás variables salvo la recomendada,Usa bien el techo pero sobra motor. Ajuste fino de minPitch/motor según RPM normal.
flight-036-comparacion-goma-floja,Goma floja comparativa,motor,usar motor competitivo mayor masa/torque,pasar a 1.35–1.45 g,modelo; salón; trimado; y todas las demás variables salvo la recomendada,Motor de entrenamiento insuficiente. Sirve para validar que la app no busque VP cuando no corresponde.
